Comune,CODISTAT,provincia,inizioIntervallo,fineIntervallo,classeEta,Target,Vaccinati,Immunizzati
Santa Teresa di Riva,83089,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,5760,3513,3152
Santa Teresa di Riva,83089,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,2785,2111,2028
Santo Stefano di Camastra,83091,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,2701,1900,1740
Santo Stefano di Camastra,83091,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1372,1168,1137
Saponara,83092,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,2260,1460,1327
Saponara,83092,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1162,972,939
Savoca,83093,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1067,607,536
Savoca,83093,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,445,315,301
Scaletta Zanclea,83094,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1125,608,546
Scaletta Zanclea,83094,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,648,462,444
Sinagra,83095,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1553,1158,1066
Sinagra,83095,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,772,633,598
Spadafora,83096,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,2888,1857,1722
Spadafora,83096,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1498,1182,1142
Taormina,83097,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,6474,4193,3835
Taormina,83097,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,3116,2301,2212
Terme Vigliatore,83106,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,4475,3125,2902
Terme Vigliatore,83106,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1915,1662,1623
Torregrotta,83098,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,4565,3189,2833
Torregrotta,83098,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1904,1667,1596
Torrenova,83108,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,2918,2122,1909
Torrenova,83108,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1113,997,946
Tortorici,83099,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,3590,2007,1763
Tortorici,83099,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1785,1356,1284
Tripi,83100,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,427,296,281
Tripi,83100,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,279,210,199
Tusa,83101,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1592,1197,1103
Tusa,83101,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,936,805,786
Ucria,83102,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,523,424,411
Ucria,83102,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,352,306,302
Valdina,83103,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,827,516,468
Valdina,83103,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,352,266,251
Venetico,83104,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,2421,1536,1406
Venetico,83104,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1122,892,857
Villafranca Tirrena,83105,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,5027,3182,2919
Villafranca Tirrena,83105,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,2486,2071,2002
Alia,82001,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1932,1669,1481
Alia,82001,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1164,971,916
Alimena,82002,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1037,764,720
Alimena,82002,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,695,569,539
Aliminusa,82003,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,644,494,471
Aliminusa,82003,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,382,343,332
Altavilla Milicia,82004,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,5326,3905,3660
Altavilla Milicia,82004,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,2077,1744,1689
Altofonte,82005,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,6237,4434,4127
Altofonte,82005,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,2443,2029,1953
Bagheria,82006,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,33753,25293,23358
Bagheria,82006,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,13178,11377,10940
Balestrate,82007,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,3774,2905,2627
Balestrate,82007,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1976,1765,1668
Baucina,82008,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1078,877,809
Baucina,82008,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,593,499,482
Belmonte Mezzagno,82009,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,7113,5596,5178
Belmonte Mezzagno,82009,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,2440,2232,2154
Bisacquino,82010,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,2431,1955,1853
Bisacquino,82010,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1430,1301,1255
Blufi,82082,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,489,344,316
Blufi,82082,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,364,288,273
Bolognetta,82011,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,2543,1862,1761
Bolognetta,82011,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1077,837,803
Bompietro,82012,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,703,540,486
Bompietro,82012,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,486,410,397
Borgetto,82013,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,4526,3099,2884
Borgetto,82013,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1683,1308,1253
Caccamo,82014,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,4825,3664,3391
Caccamo,82014,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,2362,2104,2036
Caltavuturo,82015,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,2147,1688,1618
Caltavuturo,82015,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,1267,1167,1134
Campofelice di Fitalia,82016,Palermo,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,280,245,232
